"employee_id","tech_anx","beh_intent_ai","freq_use_ai","tech_anx_label","beh_intent_ai_label","freq_use_ai_label"
"662160",4,6,5,"Neutral","Strongly Agree","Very Often"
"981117",5,5,4,"Agree","Agree","Fairly Often"
"581774",3,4,4,"Disagree","Neutral","Fairly Often"
"935989",3,7,4,"Disagree","Completely Agree","Fairly Often"
"518428",3,1,1,"Disagree","Completely Disagree","Never"
"659195",3,4,4,"Disagree","Neutral","Fairly Often"
"875119",4,2,5,"Neutral","Strongly Disagree","Very Often"
"760406",1,5,3,"Completely Disagree","Agree","Occasionally"
"778236",1,4,5,"Completely Disagree","Neutral","Very Often"
"590396",3,4,5,"Disagree","Neutral","Very Often"
"250566",6,5,6,"Strongly Agree","Agree","All the time"
"950914",4,5,3,"Neutral","Agree","Occasionally"
"673093",7,1,1,"Completely Agree","Completely Disagree","Never"
"433578",3,3,2,"Disagree","Disagree","Rarely"
"747824",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"375311",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"460235",3,3,1,"Disagree","Disagree","Never"
"339526",1,7,4,"Completely Disagree","Completely Agree","Fairly Often"
"494736",4,2,1,"Neutral","Strongly Disagree","Never"
"789003",3,6,5,"Disagree","Strongly Agree","Very Often"
"798202",3,5,5,"Disagree","Agree","Very Often"
"996657",7,4,3,"Completely Agree","Neutral","Occasionally"
"611599",4,5,5,"Neutral","Agree","Very Often"
"921955",4,7,5,"Neutral","Completely Agree","Very Often"
"510489",3,5,4,"Disagree","Agree","Fairly Often"
"984250",4,4,4,"Neutral","Neutral","Fairly Often"
"604380",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"726113",3,1,1,"Disagree","Completely Disagree","Never"
"161547",1,5,4,"Completely Disagree","Agree","Fairly Often"
"290623",3,6,5,"Disagree","Strongly Agree","Very Often"
"277564",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"243674",3,5,4,"Disagree","Agree","Fairly Often"
"457520",3,5,2,"Disagree","Agree","Rarely"
"713034",4,5,5,"Neutral","Agree","Very Often"
"918974",4,5,5,"Neutral","Agree","Very Often"
"173296",2,5,5,"Strongly Disagree","Agree","Very Often"
"609681",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"708206",1,3,4,"Completely Disagree","Disagree","Fairly Often"
"828813",4,1,1,"Neutral","Completely Disagree","Never"
"549608",3,5,5,"Disagree","Agree","Very Often"
"561698",7,5,5,"Completely Agree","Agree","Very Often"
"121658",3,3,3,"Disagree","Disagree","Occasionally"
"147849",7,2,1,"Completely Agree","Strongly Disagree","Never"
"656747",3,4,3,"Disagree","Neutral","Occasionally"
"594997",7,2,2,"Completely Agree","Strongly Disagree","Rarely"
"761910",4,5,5,"Neutral","Agree","Very Often"
"900585",1,5,5,"Completely Disagree","Agree","Very Often"
"188976",3,6,3,"Disagree","Strongly Agree","Occasionally"
"751496",3,1,1,"Disagree","Completely Disagree","Never"
"252119",3,4,4,"Disagree","Neutral","Fairly Often"
"222325",3,4,4,"Disagree","Neutral","Fairly Often"
"889862",3,6,5,"Disagree","Strongly Agree","Very Often"
"864769",5,4,2,"Agree","Neutral","Rarely"
"431293",4,6,5,"Neutral","Strongly Agree","Very Often"
"206130",3,4,4,"Disagree","Neutral","Fairly Often"
"621412",5,2,1,"Agree","Strongly Disagree","Never"
"479973",3,5,3,"Disagree","Agree","Occasionally"
"943546",3,7,6,"Disagree","Completely Agree","All the time"
"570720",3,5,3,"Disagree","Agree","Occasionally"
"115246",3,2,2,"Disagree","Strongly Disagree","Rarely"
"584154",3,4,3,"Disagree","Neutral","Occasionally"
"156501",3,4,4,"Disagree","Neutral","Fairly Often"
"972931",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"134637",3,6,3,"Disagree","Strongly Agree","Occasionally"
"558405",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"265189",6,1,1,"Strongly Agree","Completely Disagree","Never"
"639661",3,5,5,"Disagree","Agree","Very Often"
"333364",4,5,5,"Neutral","Agree","Very Often"
"399552",3,5,5,"Disagree","Agree","Very Often"
"457721",5,4,3,"Agree","Neutral","Occasionally"
"516318",7,1,1,"Completely Agree","Completely Disagree","Never"
"383724",6,4,1,"Strongly Agree","Neutral","Never"
"574663",3,5,4,"Disagree","Agree","Fairly Often"
"438553",2,7,6,"Strongly Disagree","Completely Agree","All the time"
"243009",2,5,5,"Strongly Disagree","Agree","Very Often"
"803134",4,3,2,"Neutral","Disagree","Rarely"
"492113",2,1,2,"Strongly Disagree","Completely Disagree","Rarely"
"190290",3,6,5,"Disagree","Strongly Agree","Very Often"
"942927",2,5,4,"Strongly Disagree","Agree","Fairly Often"
"707399",3,4,5,"Disagree","Neutral","Very Often"
"882364",3,6,6,"Disagree","Strongly Agree","All the time"
"130692",3,4,1,"Disagree","Neutral","Never"
"579164",4,2,2,"Neutral","Strongly Disagree","Rarely"
"615630",4,4,5,"Neutral","Neutral","Very Often"
"152195",2,4,1,"Strongly Disagree","Neutral","Never"
"545960",2,7,5,"Strongly Disagree","Completely Agree","Very Often"
"118868",3,5,5,"Disagree","Agree","Very Often"
"551660",2,4,3,"Strongly Disagree","Neutral","Occasionally"
"869289",1,5,5,"Completely Disagree","Agree","Very Often"
"297088",3,6,4,"Disagree","Strongly Agree","Fairly Often"
"739811",1,5,5,"Completely Disagree","Agree","Very Often"
"602536",3,3,5,"Disagree","Disagree","Very Often"
"583057",2,5,3,"Strongly Disagree","Agree","Occasionally"
"477740",2,7,3,"Strongly Disagree","Completely Agree","Occasionally"
"979952",3,1,1,"Disagree","Completely Disagree","Never"
"211849",3,3,4,"Disagree","Disagree","Fairly Often"
"584814",1,5,3,"Completely Disagree","Agree","Occasionally"
"276526",7,1,1,"Completely Agree","Completely Disagree","Never"
"849634",3,6,5,"Disagree","Strongly Agree","Very Often"
"427096",3,4,4,"Disagree","Neutral","Fairly Often"
"341600",5,1,3,"Agree","Completely Disagree","Occasionally"
"671703",2,6,4,"Strongly Disagree","Strongly Agree","Fairly Often"
"827852",3,4,3,"Disagree","Neutral","Occasionally"
"389874",2,6,4,"Strongly Disagree","Strongly Agree","Fairly Often"
"386207",2,3,5,"Strongly Disagree","Disagree","Very Often"
"204745",3,4,5,"Disagree","Neutral","Very Often"
"119723",1,4,4,"Completely Disagree","Neutral","Fairly Often"
"152813",1,5,3,"Completely Disagree","Agree","Occasionally"
"179435",1,7,5,"Completely Disagree","Completely Agree","Very Often"
"251952",3,7,6,"Disagree","Completely Agree","All the time"
"715321",4,5,4,"Neutral","Agree","Fairly Often"
"866471",3,3,3,"Disagree","Disagree","Occasionally"
