"employee_id","pos_attitude_ai","freq_use_ai","pos_attitude_ai_label","freq_use_ai_label"
"895593",4,4,"Neutral","Fairly Often"
"224503",6,6,"Strongly Agree","All the time"
"246040",7,3,"Completely Agree","Occasionally"
"566963",7,6,"Completely Agree","All the time"
"896418",4,3,"Neutral","Occasionally"
"720615",5,4,"Agree","Fairly Often"
"547911",5,6,"Agree","All the time"
"665107",3,4,"Disagree","Fairly Often"
"200927",3,5,"Disagree","Very Often"
"870091",4,4,"Neutral","Fairly Often"
"156305",5,4,"Agree","Fairly Often"
"463832",5,6,"Agree","All the time"
"123383",3,2,"Disagree","Rarely"
"680334",5,5,"Agree","Very Often"
"260248",4,6,"Neutral","All the time"
"946981",3,3,"Disagree","Occasionally"
"363353",3,3,"Disagree","Occasionally"
"163002",7,6,"Completely Agree","All the time"
"110034",6,6,"Strongly Agree","All the time"
"483507",4,5,"Neutral","Very Often"
"651530",4,4,"Neutral","Fairly Often"
"742445",1,4,"Completely Disagree","Fairly Often"
"656804",5,4,"Agree","Fairly Often"
"204078",4,1,"Neutral","Never"
"657028",3,1,"Disagree","Never"
"662015",4,3,"Neutral","Occasionally"
"449151",4,4,"Neutral","Fairly Often"
"673384",3,1,"Disagree","Never"
"220218",4,4,"Neutral","Fairly Often"
"939382",5,4,"Agree","Fairly Often"
"751621",3,3,"Disagree","Occasionally"
"355766",3,3,"Disagree","Occasionally"
"964547",3,2,"Disagree","Rarely"
"885347",6,6,"Strongly Agree","All the time"
"332199",6,5,"Strongly Agree","Very Often"
"842114",5,1,"Agree","Never"
"409062",6,5,"Strongly Agree","Very Often"
"381654",5,5,"Agree","Very Often"
"713403",5,2,"Agree","Rarely"
"763027",3,6,"Disagree","All the time"
"115301",6,5,"Strongly Agree","Very Often"
"647705",4,3,"Neutral","Occasionally"
"949002",5,5,"Agree","Very Often"
"547876",3,1,"Disagree","Never"
"776050",5,4,"Agree","Fairly Often"
"396516",5,6,"Agree","All the time"
"379151",5,4,"Agree","Fairly Often"
"131498",1,2,"Completely Disagree","Rarely"
"155000",3,4,"Disagree","Fairly Often"
"235834",5,6,"Agree","All the time"
"865542",6,6,"Strongly Agree","All the time"
"103958",4,2,"Neutral","Rarely"
"312779",3,4,"Disagree","Fairly Often"
"780471",3,3,"Disagree","Occasionally"
"121199",5,6,"Agree","All the time"
"129196",4,4,"Neutral","Fairly Often"
"892145",5,2,"Agree","Rarely"
"941600",2,3,"Strongly Disagree","Occasionally"
"795514",2,5,"Strongly Disagree","Very Often"
"638836",5,1,"Agree","Never"
"965983",5,5,"Agree","Very Often"
"499142",3,5,"Disagree","Very Often"
"587403",3,1,"Disagree","Never"
"425340",3,2,"Disagree","Rarely"
"612456",5,2,"Agree","Rarely"
"761511",3,5,"Disagree","Very Often"
"318469",2,1,"Strongly Disagree","Never"
"561163",4,2,"Neutral","Rarely"
"308622",5,6,"Agree","All the time"
"571166",2,4,"Strongly Disagree","Fairly Often"
"314459",4,3,"Neutral","Occasionally"
"197977",4,5,"Neutral","Very Often"
"924699",5,1,"Agree","Never"
"807460",5,1,"Agree","Never"
"442952",7,3,"Completely Agree","Occasionally"
"685390",4,4,"Neutral","Fairly Often"
"528988",3,1,"Disagree","Never"
"994163",2,1,"Strongly Disagree","Never"
"615209",6,5,"Strongly Agree","Very Often"
"693249",1,3,"Completely Disagree","Occasionally"
"483331",6,6,"Strongly Agree","All the time"
"654377",3,3,"Disagree","Occasionally"
"587683",4,6,"Neutral","All the time"
"153745",7,3,"Completely Agree","Occasionally"
"330751",2,3,"Strongly Disagree","Occasionally"
"685044",3,1,"Disagree","Never"
"833710",6,5,"Strongly Agree","Very Often"
"891055",7,6,"Completely Agree","All the time"
"355994",5,5,"Agree","Very Often"
"200138",4,5,"Neutral","Very Often"
"746493",5,2,"Agree","Rarely"
"994975",5,6,"Agree","All the time"
"615474",4,1,"Neutral","Never"
"272069",4,2,"Neutral","Rarely"
"423479",3,4,"Disagree","Fairly Often"
"117348",3,3,"Disagree","Occasionally"
"612417",4,1,"Neutral","Never"
"852357",5,6,"Agree","All the time"
"833005",4,1,"Neutral","Never"
"515309",4,1,"Neutral","Never"
"858397",3,1,"Disagree","Never"
"333435",4,2,"Neutral","Rarely"
"763547",5,6,"Agree","All the time"
"242111",6,4,"Strongly Agree","Fairly Often"
"308361",4,2,"Neutral","Rarely"
"693747",2,2,"Strongly Disagree","Rarely"
"524460",3,2,"Disagree","Rarely"
"495542",6,5,"Strongly Agree","Very Often"
"406070",4,3,"Neutral","Occasionally"
"112761",2,3,"Strongly Disagree","Occasionally"
"153674",4,2,"Neutral","Rarely"
"836255",2,3,"Strongly Disagree","Occasionally"
"166817",4,5,"Neutral","Very Often"
"916566",6,3,"Strongly Agree","Occasionally"
"826133",4,1,"Neutral","Never"
"219906",1,2,"Completely Disagree","Rarely"
"166867",2,3,"Strongly Disagree","Occasionally"
"339530",5,4,"Agree","Fairly Often"
"305488",4,2,"Neutral","Rarely"
"534009",3,1,"Disagree","Never"
"418836",1,2,"Completely Disagree","Rarely"
"950441",5,2,"Agree","Rarely"
"139722",3,1,"Disagree","Never"
"885471",6,3,"Strongly Agree","Occasionally"
"967727",4,5,"Neutral","Very Often"
"100230",1,4,"Completely Disagree","Fairly Often"
"415854",6,5,"Strongly Agree","Very Often"
"217787",6,4,"Strongly Agree","Fairly Often"
"768908",6,6,"Strongly Agree","All the time"
"937069",5,3,"Agree","Occasionally"
"480324",2,5,"Strongly Disagree","Very Often"
"431838",2,2,"Strongly Disagree","Rarely"
"731976",3,5,"Disagree","Very Often"
"751325",1,2,"Completely Disagree","Rarely"
"711511",4,5,"Neutral","Very Often"
"516286",3,1,"Disagree","Never"
"560031",3,5,"Disagree","Very Often"
"617373",4,3,"Neutral","Occasionally"
"274073",6,6,"Strongly Agree","All the time"
"553114",4,1,"Neutral","Never"
"385755",3,6,"Disagree","All the time"
"288690",6,3,"Strongly Agree","Occasionally"
"122772",5,2,"Agree","Rarely"
"201989",6,4,"Strongly Agree","Fairly Often"
"117462",7,6,"Completely Agree","All the time"
"995345",5,1,"Agree","Never"
"213160",4,4,"Neutral","Fairly Often"
"223783",3,4,"Disagree","Fairly Often"
"276747",4,4,"Neutral","Fairly Often"
"904883",7,5,"Completely Agree","Very Often"
"970536",4,1,"Neutral","Never"
"345099",2,1,"Strongly Disagree","Never"
"600068",4,2,"Neutral","Rarely"
"559165",3,5,"Disagree","Very Often"
"589484",4,5,"Neutral","Very Often"
"715838",3,4,"Disagree","Fairly Often"
"999327",4,5,"Neutral","Very Often"
"531391",5,6,"Agree","All the time"
"154506",1,3,"Completely Disagree","Occasionally"
"618758",2,1,"Strongly Disagree","Never"
"842164",3,3,"Disagree","Occasionally"
"388953",5,4,"Agree","Fairly Often"
"334966",6,5,"Strongly Agree","Very Often"
"883459",3,3,"Disagree","Occasionally"
"714385",6,6,"Strongly Agree","All the time"
"476766",5,3,"Agree","Occasionally"
"335657",5,5,"Agree","Very Often"
"932940",5,2,"Agree","Rarely"
"489551",5,5,"Agree","Very Often"
"465412",2,1,"Strongly Disagree","Never"
"250225",7,6,"Completely Agree","All the time"
"859857",4,6,"Neutral","All the time"
"509065",5,5,"Agree","Very Often"
"198995",3,4,"Disagree","Fairly Often"
"583833",4,3,"Neutral","Occasionally"
"256412",5,3,"Agree","Occasionally"
"833489",4,2,"Neutral","Rarely"
"866416",6,6,"Strongly Agree","All the time"
"401928",3,2,"Disagree","Rarely"
"938264",2,6,"Strongly Disagree","All the time"
"711672",5,3,"Agree","Occasionally"
"242495",5,4,"Agree","Fairly Often"
"429048",4,1,"Neutral","Never"
"310542",2,1,"Strongly Disagree","Never"
"894076",2,1,"Strongly Disagree","Never"
"625034",1,3,"Completely Disagree","Occasionally"
"586605",5,5,"Agree","Very Often"
"459160",4,1,"Neutral","Never"
"204889",3,1,"Disagree","Never"
"395757",6,4,"Strongly Agree","Fairly Often"
"377163",5,4,"Agree","Fairly Often"
"405025",5,1,"Agree","Never"
"311889",5,5,"Agree","Very Often"
"633620",4,5,"Neutral","Very Often"
"771052",3,4,"Disagree","Fairly Often"
"944294",6,4,"Strongly Agree","Fairly Often"
"839832",4,5,"Neutral","Very Often"
"288746",4,1,"Neutral","Never"
"188326",2,1,"Strongly Disagree","Never"
"895548",3,4,"Disagree","Fairly Often"
"123463",5,5,"Agree","Very Often"
"178201",6,6,"Strongly Agree","All the time"
"507451",3,1,"Disagree","Never"
"721198",6,5,"Strongly Agree","Very Often"
"217811",1,2,"Completely Disagree","Rarely"
"590475",5,4,"Agree","Fairly Often"
"965746",4,3,"Neutral","Occasionally"
"435462",4,4,"Neutral","Fairly Often"
"653149",3,5,"Disagree","Very Often"
"422476",4,5,"Neutral","Very Often"
"124257",2,2,"Strongly Disagree","Rarely"
"775988",3,2,"Disagree","Rarely"
"228061",6,5,"Strongly Agree","Very Often"
"508163",4,6,"Neutral","All the time"
"786441",5,4,"Agree","Fairly Often"
"634536",4,2,"Neutral","Rarely"
"836049",4,2,"Neutral","Rarely"
"487857",6,3,"Strongly Agree","Occasionally"
"944957",3,1,"Disagree","Never"
"515547",4,2,"Neutral","Rarely"
"467166",4,3,"Neutral","Occasionally"
"588900",4,6,"Neutral","All the time"
"203212",3,4,"Disagree","Fairly Often"
"581757",3,1,"Disagree","Never"
"104265",5,6,"Agree","All the time"
"187842",4,5,"Neutral","Very Often"
"342029",7,4,"Completely Agree","Fairly Often"
"247601",2,1,"Strongly Disagree","Never"
"922280",2,2,"Strongly Disagree","Rarely"
"824122",6,5,"Strongly Agree","Very Often"
"633911",2,4,"Strongly Disagree","Fairly Often"
"911659",4,1,"Neutral","Never"
"528492",3,2,"Disagree","Rarely"
"814985",2,1,"Strongly Disagree","Never"
"773609",7,6,"Completely Agree","All the time"
"779003",2,1,"Strongly Disagree","Never"
"825411",5,6,"Agree","All the time"
"315201",4,3,"Neutral","Occasionally"
"879852",4,6,"Neutral","All the time"
"457857",5,5,"Agree","Very Often"
"402953",4,3,"Neutral","Occasionally"
"628573",3,3,"Disagree","Occasionally"
"622130",4,4,"Neutral","Fairly Often"
"950733",2,3,"Strongly Disagree","Occasionally"
"771133",4,2,"Neutral","Rarely"
"558971",7,6,"Completely Agree","All the time"
"720990",1,2,"Completely Disagree","Rarely"
"579268",7,6,"Completely Agree","All the time"
"847704",2,2,"Strongly Disagree","Rarely"
"130690",5,3,"Agree","Occasionally"
"202208",5,1,"Agree","Never"
"491763",4,5,"Neutral","Very Often"
"894302",4,1,"Neutral","Never"
"159079",2,3,"Strongly Disagree","Occasionally"
"591079",5,3,"Agree","Occasionally"
"464965",5,5,"Agree","Very Often"
"243593",3,3,"Disagree","Occasionally"
"983101",4,5,"Neutral","Very Often"
"666574",6,5,"Strongly Agree","Very Often"
"879492",3,3,"Disagree","Occasionally"
"440107",2,1,"Strongly Disagree","Never"
"213710",4,3,"Neutral","Occasionally"
"116509",4,5,"Neutral","Very Often"
"252360",6,5,"Strongly Agree","Very Often"
"664298",5,5,"Agree","Very Often"
"878599",5,4,"Agree","Fairly Often"
"933737",5,4,"Agree","Fairly Often"
"513669",3,3,"Disagree","Occasionally"
"756307",5,3,"Agree","Occasionally"
"295929",7,6,"Completely Agree","All the time"
"512573",3,3,"Disagree","Occasionally"
"555521",1,3,"Completely Disagree","Occasionally"
"456317",3,5,"Disagree","Very Often"
"535895",5,5,"Agree","Very Often"
"908335",5,6,"Agree","All the time"
"300914",5,2,"Agree","Rarely"
"268295",4,4,"Neutral","Fairly Often"
"787707",3,4,"Disagree","Fairly Often"
"622218",4,1,"Neutral","Never"
"603483",6,4,"Strongly Agree","Fairly Often"
"360196",6,5,"Strongly Agree","Very Often"
"801283",5,4,"Agree","Fairly Often"
