"employee_id","perceived_ease_use","perceived_useful","behavioral_intention"
312705,7,7,6
740971,4,5,5
165286,2,6,7
380169,3,7,6
671286,6,1,5
317160,5,4,4
571625,4,2,6
364538,6,5,4
690477,5,6,3
626732,2,1,1
378538,4,5,6
447240,4,7,4
776186,7,6,7
519658,2,4,4
877527,3,5,5
146138,4,3,5
166561,4,3,2
953725,4,7,5
785555,4,6,5
691145,4,5,5
417553,3,7,2
461419,5,5,4
997154,3,5,3
493995,6,7,5
508492,7,5,4
561980,4,6,7
443635,5,4,4
451870,5,6,4
985555,6,7,4
774310,6,4,4
119612,4,5,5
262245,4,7,6
983466,7,7,5
616624,3,4,5
136268,3,4,4
651524,2,5,1
221743,2,2,3
429359,4,4,6
283697,3,3,2
156686,5,6,7
980826,6,6,4
322683,5,6,4
582046,2,2,2
459815,3,2,1
362616,1,4,4
167132,3,5,4
221112,4,4,1
692793,5,7,6
203550,1,2,3
392895,5,7,5
771976,4,5,2
802554,4,5,6
643147,1,3,4
209348,1,2,1
177155,5,6,7
456997,3,4,3
132452,4,6,6
999954,5,3,4
606272,7,7,4
908997,5,7,5
968258,6,7,2
259768,4,2,4
162076,3,6,2
471102,2,7,4
173557,4,3,2
786452,5,2,1
524699,5,6,7
225979,3,3,4
246145,2,4,7
410441,4,4,5
500668,3,5,2
858324,6,7,7
533613,4,4,4
619321,3,6,5
919040,6,6,5
896741,5,7,6
520364,2,3,3
787694,3,6,2
190958,2,2,5
836047,6,4,5
137003,5,5,5
757072,4,7,4
449496,1,5,4
333148,2,4,4
843582,3,4,7
826152,5,6,5
483908,4,5,5
928194,5,6,7
427307,5,3,4
675342,6,7,7
112526,3,1,3
497799,1,4,4
865587,4,5,5
561193,3,3,5
351903,4,7,5
630486,3,5,4
269625,5,5,3
123372,5,6,6
812360,7,7,6
101614,3,3,6
517758,5,7,7
378510,3,3,3
458907,3,6,4
154519,2,4,5
340552,6,2,5
912413,6,7,4
700132,1,5,3
358587,4,2,7
353653,1,4,3
413824,5,5,5
298591,4,2,3
673524,5,6,5
778577,5,7,5
216993,7,7,4
410758,6,6,5
633443,5,4,4
219539,6,6,6
530816,4,5,4
159666,6,5,5
537828,4,5,5
812220,7,7,5
568103,4,2,4
653752,3,7,3
718577,3,5,4
113339,3,3,5
940427,2,1,1
868583,6,5,6
667197,3,6,3
983820,4,4,3
971521,7,7,7
589924,5,7,5
711222,4,3,3
748805,2,5,5
154592,3,2,3
724383,7,7,3
309789,2,1,2
977995,3,4,2
562919,4,2,4
951006,6,5,4
682921,4,4,5
434985,6,6,5
791149,6,6,5
937530,7,7,5
398562,4,5,5
978754,2,1,1
976700,6,6,7
272197,6,7,4
652338,6,6,4
567884,2,2,2
884943,6,7,4
855758,4,7,4
770398,7,7,7
877541,4,2,3
395954,7,7,5
734564,3,3,4
377706,4,3,4
477650,2,6,2
508545,2,3,5
798283,5,4,3
496917,3,6,6
607094,4,6,5
483842,3,2,3
247325,1,4,4
413261,6,7,4
491412,5,6,7
182150,5,5,4
434171,6,4,4
167320,6,6,4
954186,6,6,5
708574,5,6,7
684145,4,3,4
512698,1,6,4
720887,1,1,2
258061,3,2,4
109896,3,4,3
921160,6,5,5
323088,4,6,3
910327,4,2,3
354474,3,5,5
534498,4,3,5
385384,4,5,5
294543,2,4,2
115502,6,7,4
162519,3,4,5
981897,3,4,5
776909,6,6,4
685490,4,7,6
850089,1,6,4
103949,4,5,5
713536,7,7,5
924934,5,6,4
297917,3,6,2
922704,3,7,4
341972,3,4,1
778624,6,5,7
570368,3,4,2
864884,6,7,5
914900,2,7,5
994701,5,6,6
132789,5,3,6
995587,2,3,4
860117,2,4,3
527131,3,5,6
933767,4,6,3
483004,2,1,4
587223,3,5,5
425717,3,4,1
605368,3,4,3
171408,2,4,5
341196,3,2,3
939179,2,1,1
113750,4,7,4
755638,4,5,2
489820,6,5,5
206162,5,5,2
702142,3,6,5
504047,3,6,4
933499,4,6,4
678052,7,6,5
545493,4,3,2
257403,6,7,6
307006,2,2,4
303636,5,6,5
272988,1,5,6
406460,6,6,5
725453,1,2,2
352708,4,2,3
867750,6,6,5
490700,5,6,4
143499,7,4,7
631710,7,7,6
546024,2,2,4
214033,3,1,4
120381,6,6,5
153914,3,2,3
454800,6,7,5
195571,6,5,5
296375,4,4,2
518992,5,7,3
478633,5,6,3
270199,1,2,6
238729,4,3,4
841963,6,7,4
634707,5,5,5
358518,3,4,5
506915,6,5,4
744163,5,6,4
264712,5,7,7
495175,6,6,5
550668,5,6,6
336394,1,4,6
855580,3,4,4
208388,2,5,4
308041,3,4,2
715005,4,2,5
642163,5,5,5
506910,7,5,6
853039,5,5,4
525688,3,3,5
996322,7,7,7
832568,3,2,4
705555,1,2,1
842303,3,5,7
159757,3,1,1
517418,5,6,2
292692,3,2,7
118753,5,7,4
731725,7,6,7
159657,7,7,5
559621,4,6,3
780282,6,6,2
807582,5,2,4
717380,1,3,2
339770,3,7,7
457065,2,6,3
511221,5,6,4
387855,3,6,7
394959,3,7,3
674520,6,7,4
887844,5,6,3
103385,2,4,4
358000,7,5,4
311579,2,3,4
989754,3,2,2
880412,4,2,6
859430,5,4,5
768674,5,5,2
731688,7,5,7
891496,4,3,4
946739,7,7,5
698832,3,5,4
331638,4,7,2
323631,6,6,6
766899,1,3,4
196794,2,3,4
178590,5,6,5
223146,7,7,6
657430,5,5,7
315683,1,3,2
429617,5,1,4
264889,4,5,6
814292,4,5,4
190003,6,6,5
874605,7,5,4
754396,1,4,2
115919,4,7,5
805970,5,4,4
776530,5,6,5
632555,2,6,3
910921,1,4,1
734577,3,6,4
790047,7,7,7
254348,6,6,6
838485,2,3,3
170102,7,7,6
207546,4,4,4
246996,2,3,5
805844,5,4,3
268043,3,6,4
158594,3,1,4
923577,3,6,4
407356,5,3,6
188145,6,7,6
486504,7,5,4
804150,2,1,1
684430,5,6,5
556721,2,4,1
865914,3,3,4
522447,6,5,5
587394,1,3,5
894866,3,2,1
769519,4,5,3
144784,2,6,5
491287,2,1,5
159922,4,7,5
353421,4,5,6
232902,2,1,1
597554,6,7,4
696608,5,6,5
791232,4,5,5
367436,4,3,2
655291,5,6,5
909054,5,6,5
369871,2,6,3
590019,4,2,3
435656,2,1,4
589721,2,3,2
793412,3,4,1
789893,5,5,5
885133,5,4,6
630183,6,7,5
932287,1,2,2
785910,4,6,4
584044,4,6,5
999614,2,3,1
703542,6,7,5
588743,7,5,3
756776,5,4,5
859794,3,4,1
694598,4,5,2
944479,2,5,4
784359,5,4,6
591688,4,6,2
801560,4,5,5
238127,4,4,5
695797,7,7,7
198801,5,6,6
646328,6,7,4
802307,4,7,6
106638,2,6,1
304973,2,4,4
649317,4,4,5
725740,4,3,7
250045,3,4,4
487693,2,1,3
519699,3,5,3
349772,4,4,5
203832,3,2,3
324161,4,6,6
589222,6,7,6
904112,3,5,5
635432,5,4,4
492053,4,5,6
991875,6,7,5
763172,5,6,7
665165,5,7,6
269182,4,7,4
128250,5,7,5
300009,5,6,4
672801,4,3,5
842682,1,2,2
686946,3,6,3
622558,6,5,7
927112,4,4,4
709561,5,6,3
861371,7,5,5
234766,6,7,6
230418,3,5,6
561293,6,7,5
783690,5,6,4
755304,4,7,7
718304,5,6,7
550457,5,7,5
388192,5,4,6
201883,5,5,7
425400,6,3,3
691231,2,2,4
821737,3,6,4
443338,5,7,7
383455,1,4,3
300748,2,5,7
454575,4,6,7
939903,6,6,7
985134,6,5,2
110137,5,3,3
439983,1,4,2
666842,3,2,5
905625,2,6,4
549649,7,7,7
389363,6,5,5
916517,6,6,4
539183,3,5,2
930828,5,6,5
991782,2,2,5
457542,4,7,5
647497,6,6,7
965823,2,2,4
254605,2,3,2
278248,4,4,4
751759,4,4,6
438616,5,4,3
213966,5,6,4
622421,6,4,7
164757,5,5,4
508584,6,7,5
186831,4,2,4
158938,5,5,6
573772,4,6,4
206687,6,6,4
612720,7,7,5
270385,4,5,5
193121,3,5,4
425066,4,6,5
311244,2,2,1
868167,3,2,5
443390,3,7,5
469931,2,3,4
